"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C"
"Bin_29_3",3.33513153595762,3.22541077951986,2.81943804140066,0.606231739159763,0.567257325728952,1.48654659942387,0.799250033025196,1.15406908743385
"Bin_29_4",3.32466625886969,3.27410306212774,2.75746776453108,0.894831482179226,0.954209889502981,1.45702631602703,1.40580256128816,1.62826734461654
"Bin_29_9",4.03432802877989,3.01557125793652,2.61832602334599,0.693317035246283,1.53398872420401,0.442982622747774,1.74284322777361,2.04824315717769
"Bin_2_22",0.194188516951116,3.27779894254177,2.80631646812896,3.55562414170059,3.53744179196708,2.52190990240971,3.67195695223705,4.26841123481326
"Bin_2_3_1",0.195198880627349,2.84219430448372,2.57830741372379,3.37091777432152,3.38767928450694,2.39440591554796,3.54218317665219,4.25336580106242
"Bin_30_1",2.62818505493737,-0.0825725012978314,0.487036833798919,3.24404438830094,3.21941412772644,1.82932613522962,2.70986339709001,4.0893755951108
"Bin_30_2",3.58242701091146,0.314891803742724,0.799112427104243,3.79688548635562,3.95023170272996,2.86301735023317,3.41644418546841,4.7594507517174
"Bin_30_4",3.10406003466449,-0.492590172284186,1.65852972426796,3.41667537824214,3.32743206487657,2.20710454100504,2.80489137285026,4.10957898119909
"Bin_30_7",2.61426685230949,-0.0186822541708697,-0.0415021763397358,2.6191435866175,2.4421408133607,1.70706925798883,2.54074385385232,3.2585757718727
"Bin_31_1",5.04479346245806,4.3045183235098,3.91768147789196,1.18599293812158,2.33883109600054,0.836427155965461,3.49803199980058,3.61893729059732
"Bin_31_3",4.3045183235098,4.3045183235098,3.77635352278745,0.899851139509052,2.55722855199911,0.432021565383292,3.28673296185943,4.27572413039921
"Bin_31_4",4.19997064075587,3.88358819756483,3.55450477317109,0.605688114446431,2.19709792033198,0.31476202164398,2.8558970785148,4.00130484168834
"Bin_31_6",4.5003129173816,4.14206473528057,3.95244478184313,0.767085145833256,2.69469636256988,1.01771295621475,3.49658659541342,3.34079236316997
"Bin_31_7",4.18442225167573,3.91462021678207,3.70940673315683,1.18549674536058,1.88895899266838,0.272856557497982,2.40671659193349,3.90855816022808
"Bin_32_1",3.94791426522933,3.74392479237628,3.51311208801287,1.2905744927597,1.08578455798884,2.08834103067077,1.37642818994929,1.50423219011527
"Bin_32_4",4.02365002099673,3.56065467233221,3.4634238830127,1.72287127337778,0.736511327804797,1.91219924516241,1.09426518411062,1.57819032551203
"Bin_32_5",3.81437569675123,3.81450600832623,3.31562238483266,1.40233446994252,1.25159170971753,2.2853297292852,1.16942117842841,0.82116673591008
"Bin_32_6",4.32422165832592,3.80191777148024,3.68920263934108,1.49855304617578,1.85601072470361,1.65084634670804,1.22021637679968,1.37825492612176
"Bin_32_7",3.81437569675123,3.55359332726654,3.08223567135796,0.752914226250059,0.602614804118297,1.36055613543979,0.312972466520779,0.805942370815893
"Bin_32_8",3.86873430321997,3.52644150496972,3.26819776587933,0.796770405268653,0.89050313310981,0.937621599068095,0.646027843087669,1.16108388831935
"Bin_33_1",4.14146280243036,4.1157712303674,3.40837673749285,0.0631189675748047,0.829246144039799,0.50036402283054,1.95816148384285,2.34525376025156
"Bin_33_15",3.97478837866851,4.26680273489343,4.07727454200674,1.86325432691018,1.30863849149516,0.336664612312312,1.97776667206496,2.68632445963523
"Bin_33_2",4.21538270736712,4.23210238398191,3.80117802239679,0.244147318293594,0.544522953663148,0.188740694159811,1.63534399874495,1.93628757773011
"Bin_33_6",4.11520463605102,4.44249279809434,3.82750507210986,1.53977929762864,0.473459353602812,0.564513752993212,1.04705947181,1.68027272961109
"Bin_34_5",4.04479346245806,3.63841569370003,3.30734957074255,1.99754567104144,1.23121527698216,3.24630895537646,0.979438909124501,1.06547393658508
"Bin_34_7",3.47369950063437,2.82354090457133,2.67751731316792,1.22679937012902,0.576122639395219,1.75249062132866,0.0698127516329058,0.520505182113325
"Bin_35_3",4.03432802877989,3.72273469054316,3.47532352712347,0.975909518886728,0.63213149843837,1.39785716404434,1.52914432814472,1.74209598644042
"Bin_35_4",4.14146280243036,3.78968148017377,3.61665148222798,1.75896668340585,0.667870134116771,2.91575269512745,3.04166598579252,1.98077055837345
"Bin_35_6",3.73307248417192,3.44835851550164,3.15656476449905,0.360001467735415,0.126278739713359,2.30611334095776,1.59160697285884,1.37096374874163
"Bin_36_1",3.76039524532748,3.20926458570221,2.87628977266327,2.66487060230391,1.84646460643493,2.66721545441651,1.33125644092218,0.450537008324068
"Bin_36_11",3.70240361102233,3.45949408980828,3.18036724057987,2.9160726100312,1.75271088118508,3.24196666393214,2.01922490696372,0.729886811154215
