"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C","bins","taxa"
"Bin_28_9",0.000173622,0.000320091,0.000855386,0.067278613,0.065416657,0.036066147,0.278845585,0.027848937,"Bin_28_9","Eisenbacteria"
"Bin_29_2",8.34e-05,0.000252466,0.000585753,0.090543507,0.150073006,0.035513256,0.076908607,0.027975115,"Bin_29_2","Gammaproteobacteria"
"Bin_29_3",0.000462241,0.000595099,0.001515521,0.247610046,0.270858628,0.032617705,0.158763245,0.070134372,"Bin_29_3","Gammaproteobacteria"
"Bin_29_4",0.000473515,0.000531982,0.001747963,0.127399733,0.111119457,0.034911916,0.039282348,0.023536,"Bin_29_4","Gammaproteobacteria"
"Bin_29_9",9.24e-05,0.000964781,0.002408097,0.202620305,0.029242283,0.360593071,0.018078266,0.008948636,"Bin_29_9","Gammaproteobacteria"
"Bin_2_22",0.639457202,0.000527474,0.001562009,0.000278212,0.000290107,0.0030067,0.000212835,5.39e-05,"Bin_2_22","Actinobacteriota"
"Bin_2_3_1",0.637971267,0.001438155,0.002640539,0.000425679,0.000409563,0.004032683,0.000286957,5.58e-05,"Bin_2_3_1","Actinobacteriota"
"Bin_30_1",0.002354046,1.209407065,0.325809067,0.000570106,0.000603373,0.014814052,0.001950458,8.14e-05,"Bin_30_1","UBP10"
"Bin_30_2",0.000261561,0.484293005,0.158813557,0.00015963,0.000112142,0.001370827,0.000383315,1.74e-05,"Bin_30_2","Verrucomicrobiota"
"Bin_30_4",0.000786937,3.10878131,0.021951807,0.000383111,0.000470509,0.006207196,0.001567143,7.77e-05,"Bin_30_4","Gammaproteobacteria"
"Bin_30_7",0.00243071,1.043956143,1.100277359,0.002403568,0.003612927,0.019630472,0.002879096,0.000551346,"Bin_30_7","Alphaproteobacteria"
"Bin_31_1",9.02e-06,4.96e-05,0.00012087,0.065163899,0.004583201,0.145738013,0.000317664,0.000240471,"Bin_31_1","Actinobacteriota"
"Bin_31_3",4.96e-05,4.96e-05,0.000167358,0.1259357,0.002771861,0.369809816,0.000516734,5.3e-05,"Bin_31_3","Gammaproteobacteria"
"Bin_31_4",6.31e-05,0.000130741,0.00027893,0.247920184,0.006351877,0.48443775,0.001393487,9.97e-05,"Bin_31_4","Gammaproteobacteria"
"Bin_31_6",3.16e-05,7.21e-05,0.000111572,0.170968009,0.002019778,0.096003495,0.000318723,0.000456255,"Bin_31_6","Cyanobacteriota"
"Bin_31_7",6.54e-05,0.000121725,0.000195251,0.065238393,0.012913412,0.533511079,0.003919976,0.000123436,"Bin_31_7","Alphaproteobacteria"
"Bin_32_1",0.000112742,0.000180333,0.000306823,0.051218341,0.08207586,0.008159414,0.042031202,0.03131611,"Bin_32_1","Acidobacteriota"
"Bin_32_4",9.47e-05,0.000275008,0.000344014,0.018929046,0.183437732,0.012240545,0.080488682,0.02641251,"Bin_32_4","UBP10"
"Bin_32_5",0.000153329,0.000153283,0.000483479,0.039597296,0.056028409,0.005184063,0.067698465,0.150950051,"Bin_32_5","Acidobacteriota"
"Bin_32_6",4.74e-05,0.000157791,0.000204549,0.031728311,0.013931224,0.022343626,0.060225945,0.041854781,"Bin_32_6","Acidobacteriota"
"Bin_32_7",0.000153329,0.000279516,0.000827493,0.176638665,0.249680828,0.043595721,0.486438044,0.156335508,"Bin_32_7","Acidobacteriota"
"Bin_32_8",0.00013529,0.000297549,0.000539265,0.159672305,0.128675797,0.11544587,0.225929092,0.069010649,"Bin_32_8","Acidobacteriota"
"Bin_33_1",7.22e-05,7.66e-05,0.000390502,0.864731008,0.148167808,0.315962817,0.011011298,0.00451592,"Bin_33_1","Patescibacteria"
"Bin_33_15",0.000105977,5.41e-05,8.37e-05,0.013700792,0.049131668,0.460612148,0.010525272,0.002059091,"Bin_33_15","Gammaproteobacteria"
"Bin_33_2",6.09e-05,5.86e-05,0.00015806,0.569970898,0.285415166,0.647529123,0.023155598,0.011580103,"Bin_33_2","Patescibacteria"
"Bin_33_6",7.67e-05,3.61e-05,0.000148763,0.028854975,0.336155829,0.272575142,0.089730591,0.020879845,"Bin_33_6","Gammaproteobacteria"
"Bin_34_5",9.02e-05,0.000229924,0.000492777,0.010056673,0.058719821,0.000567141,0.104848227,0.086005468,"Bin_34_5","UBP10"
"Bin_34_7",0.00033597,0.001501271,0.002101274,0.05931993,0.265385604,0.017681104,0.85150509,0.301644088,"Bin_34_7","UBP10"
"Bin_35_3",9.24e-05,0.00018935,0.000334716,0.105703771,0.233275163,0.040007631,0.029570296,0.018109398,"Bin_35_3","Verrucomicrobiota"
"Bin_35_4",7.22e-05,0.0001623,0.00024174,0.017419405,0.214847283,0.00121408,0.000908519,0.010452723,"Bin_35_4","Verrucomicrobiota"
"Bin_35_6",0.000184896,0.000356157,0.000697325,0.436514357,0.747689463,0.004941817,0.025609024,0.042563394,"Bin_35_6","Verrucomicrobiota"
"Bin_36_1",0.000173622,0.00061764,0.001329567,0.002163363,0.014240833,0.002151714,0.046638391,0.354374931,"Bin_36_1","Actinobacteriota"
"Bin_36_11",0.000198425,0.000347141,0.000660135,0.001213186,0.017672139,0.00057284,0.009566985,0.186257251,"Bin_36_11","Methylomirabilota"
"Bin_36_15",0.000193916,0.000491407,0.000753112,0.000313178,0.005221923,0.000564291,0.003431832,0.489755618,"Bin_36_15","Methylomirabilota"
"Bin_36_2",0.000182641,0.000761906,0.000836791,0.008975752,0.014619923,0.001399327,0.064679596,0.713957937,"Bin_36_2","Methylomirabilota"
"Bin_36_5",0.000356264,0.007848989,0.002268632,0.016358247,0.078849336,0.002664705,0.108068283,1.349283636,"Bin_36_5","Methylomirabilota"
"Bin_36_7",0.000302148,0.00072584,0.001162209,0.003898006,0.033790135,0.001747021,0.027140166,1.460848535,"Bin_36_7","Actinobacteriota"
"Bin_37_1",0.369867075,0.038956414,0.082377385,0.000264529,0.001643126,0.012129397,0.000829103,0.000393166,"Bin_37_1","Crenarchaeota"
"Bin_37_10",0.00480054,0.207360287,0.179045294,0.000620276,0.003377673,0.023894,0.005212869,0.000190183,"Bin_37_10","Crenarchaeota"
"Bin_37_2",0.433669839,0.184773592,0.12691324,0.0007495,0.003508099,0.050575254,0.005955144,0.000143551,"Bin_37_2","Crenarchaeota"
"Bin_37_3",0.679857051,0.000193858,0.002064083,0.00010794,4.63e-05,0.000396143,2.01e-05,2.01e-05,"Bin_37_3","Bacteroidota"
"Bin_37_6",0.381567405,0.010788415,0.020882574,0.000586829,0.001449315,0.008889001,0.000531558,0.000116121,"Bin_37_6","Crenarchaeota"
"Bin_37_9",0.04004584,0.378518746,0.625612542,0.000986664,0.005520563,0.031229778,0.008525047,0.000827477,"Bin_37_9","Crenarchaeota"
"Bin_38_2",0.000288619,0.000531982,0.000892577,0.12867221,0.203385625,0.015469541,0.089780358,0.029846767,"Bin_38_2","Acidobacteriota"
"Bin_39_4",9.47e-05,0.00018935,0.000827493,0.061048493,0.480342591,0.027271194,0.074508125,0.115911667,"Bin_39_4","Bacteroidota"
"Bin_39_6",5.64e-05,8.11e-05,0.000195251,0.095896424,0.224224561,0.225593678,0.012791276,0.006221162,"Bin_39_6","Bacteroidota"
"Bin_39_7",5.41e-05,4.06e-05,0.000139465,0.040812003,0.204051164,0.10583298,0.007259685,0.006805425,"Bin_39_7","Bacteroidota"
"Bin_39_8",0.000191661,0.000103691,0.000316121,0.033371737,0.129813065,0.130855562,0.016114043,0.015603195,"Bin_39_8","Bacteroidota"
"Bin_3_15",1.315726813,0.000495915,0.001125018,0.000988184,0.001209185,0.028613522,0.000948757,0.000160009,"Bin_3_15","Actinobacteriota"
"Bin_3_17",1.363357912,0.03208573,0.024406392,0.000703891,0.000408344,0.01432956,0.000664977,7.13e-05,"Bin_3_17","Actinobacteriota"
"Bin_3_9",0.813433377,0.007307991,0.025317564,0.000278212,0.000196249,0.001875269,0.000154597,7.68e-05,"Bin_3_9","Actinobacteriota"
"Bin_40_1",0.00013078,0.000288533,0.000483479,0.047790103,0.000214533,1.591034346,0.000127066,0.000120693,"Bin_40_1","Spirochaetota"
"Bin_40_4",8.79e-05,0.000121725,0.000306823,0.086653102,0.000301077,1.118423899,0.000195893,0.000142637,"Bin_40_4","Chloroflexota"
"Bin_40_5",0.000110487,0.000175825,0.000232442,0.197173131,0.000379089,4.968843466,0.000211776,0.000160924,"Bin_40_5","Spirochaetota"
"Bin_40_6",6.76e-05,0.000121725,0.000297526,0.155398789,0.000145053,0.632085231,0.000104829,6.13e-05,"Bin_40_6","Spirochaetota"
"Bin_41_1",7.20587458,0.186640038,0.177325225,0.000868082,0.001094605,0.037351475,0.002111408,0.000137151,"Bin_41_1","Gammaproteobacteria"
"Bin_41_2",1.690274922,0.280034444,0.27768431,0.000521457,0.001207966,0.044536205,0.002512723,8.41e-05,"Bin_41_2","Gammaproteobacteria"
"Bin_42_10",9.7e-05,0.000243449,0.000288228,0.647453652,0.063151873,0.184374817,0.002659908,0.002477859,"Bin_42_10","Planctomycetota"
"Bin_42_11",9.92e-05,0.000130741,0.000381205,0.799554946,0.060188639,0.032329859,0.000367432,0.00015178,"Bin_42_11","Gammaproteobacteria"
"Bin_42_14",0.000112742,0.000103691,0.000362609,0.706902806,0.038902354,0.462604265,0.00352819,0.001614723,"Bin_42_14","Gammaproteobacteria"
"Bin_42_2",6.99e-05,0.000130741,0.000325419,0.415355055,0.277963808,0.675150861,0.003903033,0.009036412,"Bin_42_2","Verrucomicrobiota"
"Bin_42_5",0.000227738,0.000405749,0.000836791,3.28515566,2.583794012,0.054773234,0.068457682,0.016145398,"Bin_42_5","Chloroflexota"
"Bin_43_1",0.000162348,0.000369682,0.000827493,0.003770302,0.132631245,0.001416426,0.321081151,0.277766125,"Bin_43_1","Planctomycetota"
"Bin_43_3",6.76e-05,0.000252466,0.000409098,0.012045204,0.045383438,0.003818936,0.19881434,0.101739413,"Bin_43_3","Gammaproteobacteria"
"Bin_43_4",9.7e-05,0.000658215,0.000669432,0.005679778,0.005689995,0.003545341,0.215663246,0.237630301,"Bin_43_4","Gammaproteobacteria"
"Bin_43_6",0.000164603,0.000279516,0.000418395,0.000706932,0.010624249,0.000735288,0.042645352,0.238519953,"Bin_43_6","Planctomycetota"
"Bin_43_8",8.57e-05,0.000180333,0.000381205,0.000823993,0.022703908,0.00058709,0.034722809,0.196869984,"Bin_43_8","Actinobacteriota"
"Bin_44_2",0.000148819,0.002772618,0.002631242,0.005024536,0.046521925,0.001955067,0.130594906,0.062368891,"Bin_44_2","Myxococcota"
"Bin_44_3",0.00020068,0.000838548,0.001013446,0.01218811,0.075661817,0.010028982,0.26378301,0.047605059,"Bin_44_3","Myxococcota"
"Bin_44_4",0.000354009,0.000676248,0.001580604,0.009612751,0.048399087,0.00538356,0.134069093,0.350915987,"Bin_44_4","Gammaproteobacteria"
"Bin_44_5",0.000387831,0.001406597,0.002612646,0.005491263,0.022602737,0.001499075,0.034555506,0.319486498,"Bin_44_5","Chloroflexota"
